,Answer,Gender,Center,Year,Days,ZipCode,GoStage1,GoStage2,GoStage3,SameBack,BackStage1,BackStage2,BackStage3,Fastest,Cheapest,Comfortable,OnlyOption,Environmental,Healthiest,OtherTrips,Other
320,739,Woman,Barcelona School of Informatics (FIB),Second,3,8028,,,On foot,Yes,,,,No,Yes,No,No,No,No,No,
321,743,Man,School of Engineering of Barcelona East (EEBE),First,5,8020,On foot,Bicycle,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
322,744,Woman,School of Engineering of Barcelona East (EEBE),First,4,8750,Tram,On foot,Renfe,Yes,,,,Yes,No,No,No,No,No,No,
323,748,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,5,8029,Bicycle,Underground,Bus,Yes,,,,No,Yes,No,No,Yes,No,No,
324,751,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,4,8202,Renfe,FGC,,Yes,,,,No,Yes,No,Yes,No,No,No,
325,752,Non binary,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Second,2,4545,Underground,,,No,Bus,,,No,No,Yes,No,No,No,No,
326,753,Man,Faculty of Mathematics and Statistics (FME),First,3,8340,On foot,Renfe,Underground,Yes,,,,No,No,No,Yes,No,No,No,
327,756,Man,Barcelona School of Informatics (FIB),Fourth,2,8210,On foot,Bus,Underground,Yes,,,,Yes,No,Yes,No,No,No,No,
328,759,Man,School of Engineering of Barcelona East (EEBE),First,5,8023,Underground,Underground,Underground,Yes,,,,No,No,No,Yes,No,No,No,
329,761,Man,Polytechnic School of Engineering of Manresa (EPSEM),Second,5,8207,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,,,,Yes,No,No,No,No,No,No,
330,767,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,5,8025,Bus,,,Yes,,,,No,No,Yes,No,No,No,No,
331,768,Man,Faculty of Nautical of Barcelona (FNB),Third,5,8005,On foot,Bicycle,On foot,Yes,,,,Yes,No,Yes,No,No,No,No,
332,769,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,3,80233,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,,Yes,,,,No,No,No,Yes,No,No,Yes,
333,770,Woman,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",First,5,8005,On foot,On foot,Underground,Yes,,,,Yes,No,No,No,No,No,No,
334,771,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Fourth,4,8191,,,Combustion or electric motorcycle with non-renewable source charging,No,,,Combustion or electric motorcycle with non-renewable source charging,No,No,No,Yes,No,No,No,
335,772,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8222,On foot,,,Yes,,,,Yes,No,No,No,No,No,No,
336,773,Man,Polytechnic University School of Building of Barcelona (EPSEB),Second,4,8036,On foot,Tram,,No,On foot,,,Yes,No,Yes,No,No,No,No,
337,774,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8222,On foot,,,Yes,,,,No,No,No,Yes,No,No,No,
338,775,Man,Polytechnic University School of Building of Barcelona (EPSEB),First,4,8031,Underground,,,Yes,,,,Yes,No,Yes,No,No,No,No,
339,776,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8233,On foot,Renfe,On foot,Yes,,,,No,Yes,No,Yes,No,No,No,
340,777,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Second,1,8940,Tram,,,Yes,,,,No,Yes,Yes,No,No,No,No,
341,779,Man,School of Engineering of Barcelona East (EEBE),Fourth,2,8020,On foot,Bicycle,Bicycle,Yes,,,,Yes,Yes,No,No,No,No,No,
342,780,Man,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Fourth,5,8860,On foot,,,Yes,,,,No,No,Yes,No,No,No,No,
343,784,Woman,School of Engineering of Barcelona East (EEBE),First,5,8458,Renfe,Underground,On foot,Yes,,,,Yes,No,No,No,No,No,No,
344,785,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,5,8011,On foot,Bus,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
345,788,Man,Polytechnic University School of Building of Barcelona (EPSEB),Second,4,8030,On foot,Underground,On foot,Yes,,,,Yes,No,Yes,No,No,No,No,
346,794,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Fourth,1,8922,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,,,,Yes,No,No,No,No,No,No,
347,795,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,4,8140,Bus,Renfe,On foot,Yes,,,,No,No,No,Yes,No,No,No,
348,798,NR/DK,School of Engineering of Barcelona East (EEBE),Fourth,5,8339,On foot,Underground,Bus,Yes,,,,Yes,No,No,Yes,No,No,No,
349,803,Man,Barcelona School of Informatics (FIB),First,5,8028,Bicycle,Bicycle,On foot,Yes,,,,No,Yes,No,No,No,Yes,No,
350,805,Man,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),Third,4,8032,Renfe,Underground,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
351,806,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),First,5,8830,Bus,On foot,,Yes,,,,Yes,Yes,No,No,No,No,No,
352,809,Man,Barcelona School of Informatics (FIB),First,1,8172,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,Yes,No,Yes,No,No,No,No,
353,810,Man,School of Engineering of Barcelona East (EEBE),Second,5,8585,Bus,Underground,On foot,No,On foot,Underground,Renfe,No,Yes,No,Yes,No,No,No,
354,812,Woman,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Fourth,4,8034,On foot,,,Yes,,,,Yes,No,No,No,No,No,No,The journey is too short to do anything else
355,813,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Third,5,8030,Bus,Underground,,Yes,,,,No,No,No,Yes,No,No,No,
356,814,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,5,8273,Bus,Bus,Bus,Yes,,,,No,Yes,No,No,No,No,No,
357,817,Woman,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),First,5,8860,Scooter (or other micro-mobility devices) with renewable charging,Scooter (or other micro-mobility devices) with renewable charging,Scooter (or other micro-mobility devices) with renewable charging,Yes,,,,Yes,Yes,No,No,No,No,No,
358,818,Man,Barcelona School of Informatics (FIB),Fourth,3,8027,Underground,Underground,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
359,819,Man,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),First,4,8029,On foot,Bus,Renfe,Yes,,,,No,No,Yes,No,Yes,No,No,
360,820,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,5,8014,On foot,Bicycle,Bicycle,Yes,,,,No,Yes,No,No,Yes,No,No,
361,822,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Second,4,8028,On foot,On foot,On foot,Yes,,,,No,Yes,No,No,Yes,No,No,
362,824,Woman,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),First,5,8940,Renfe,Renfe,Renfe,Yes,,,,Yes,Yes,No,No,No,No,No,
363,827,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Second,4,8370,,Underground,Combustion or electric motorcycle with non-renewable source charging,Yes,,,,No,Yes,No,No,No,No,No,
364,836,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8901,Bus,Underground,FGC,Yes,,,,No,Yes,No,No,No,No,No,
365,843,Man,Polytechnic University School of Building of Barcelona (EPSEB),First,4,8227,,Renfe,,Yes,,,,No,No,No,Yes,No,No,Yes,
366,846,Man,Barcelona School of Informatics (FIB),Second,2,8450,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,Yes,No,Yes,No,No,No,No,
367,847,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,1,8402,Combustion or electric motorcycle with non-renewable source charging,,,Yes,,,,No,No,Yes,No,No,No,No,
368,848,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Third,5,8930,Underground,Bus,,Yes,,,,No,No,Yes,No,No,No,No,
369,849,Man,School of Architecture of Vallès (ETSAV),Fourth,5,8201,On foot,FGC,On foot,Yes,,,,Yes,No,No,Yes,No,No,No,
370,850,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8028,On foot,Underground,FGC,Yes,,,,No,No,Yes,No,No,No,No,
371,853,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),Fourth,5,8960,On foot,Bus,On foot,Yes,,,,Yes,No,Yes,No,No,No,No,
372,854,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,5,8232,On foot,Bus,On foot,Yes,,,,No,No,Yes,No,No,No,No,
373,855,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,4,8024,On foot,Underground,,Yes,,,,Yes,Yes,No,No,No,No,No,
374,856,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,8860,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,,,,Yes,No,Yes,No,No,No,No,
375,857,Man,Barcelona School of Informatics (FIB),Third,5,8901,Bus,On foot,,Yes,,,,Yes,No,Yes,No,No,No,No,
376,859,Non binary,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,2,17004,On foot,Renfe,Renfe,Yes,,,,No,Yes,No,Yes,No,No,No,
377,862,Man,School of Engineering of Barcelona East (EEBE),First,5,8840,On foot,Renfe,Underground,No,Tram,Underground,Renfe,Yes,No,Yes,No,No,No,No,
378,864,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,5,8028,On foot,On foot,On foot,Yes,,,,No,No,Yes,No,No,No,No,
379,867,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,5,8030,On foot,Bus,Underground,No,Underground,Bus,On foot,Yes,No,Yes,No,No,No,No,
380,868,Man,School of Engineering of Barcelona East (EEBE),Third,4,8912,Renfe,Tram,Combustion or electric motorcycle with non-renewable source charging,Yes,,,,Yes,No,No,No,No,Yes,No,
381,869,Man,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),Third,5,8392,Bus,Renfe,On foot,Yes,,,,No,Yes,No,No,No,No,Yes,
382,870,Woman,School of Engineering of Barcelona East (EEBE),Fourth,3,8500,Bus,Underground,Tram,Yes,,,,Yes,Yes,No,No,No,No,No,
383,871,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),Third,5,8019,On foot,Underground,,Yes,,,,Yes,No,Yes,No,No,No,No,
384,874,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,3,,On foot,Renfe,,Yes,,,,No,No,No,Yes,No,No,No,
385,875,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8025,On foot,Underground,FGC,Yes,,,,No,No,No,Yes,No,No,No,
386,876,Man,Barcelona School of Informatics (FIB),Third,5,8912,On foot,Underground,On foot,Yes,,,,No,No,No,Yes,No,No,No,
387,881,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Third,4,8800,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,,Yes,,,,Yes,Yes,No,No,No,No,No,
388,887,Man,Polytechnic School of Engineering of Manresa (EPSEM),Second,5,8243,On foot,On foot,On foot,Yes,,,,Yes,No,No,Yes,No,No,No,
389,890,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,5,8459,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Renfe,Underground,Yes,,,,Yes,Yes,No,No,No,No,No,
390,896,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,5,8032,Underground,Underground,Underground,Yes,,,,No,No,No,Yes,No,No,No,
391,900,Man,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Second,5,8028,Underground,Renfe,On foot,Yes,,,,Yes,No,No,No,No,No,No,
392,901,Woman,School of Architecture of Vallès (ETSAV),Fourth,5,8006,FGC,On foot,,Yes,,,,No,Yes,No,No,No,No,No,
393,903,Man,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Second,5,8758,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,Yes,No,Yes,No,No,No,No,
394,904,Man,School of Engineering of Barcelona East (EEBE),First,5,8021,Bus,Tram,On foot,Yes,,,,Yes,No,No,No,No,No,No,
395,911,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,4,8271,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,,,,Yes,No,Yes,No,No,No,No,
396,913,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Fourth,3,8012,Bus,On foot,,Yes,,,,No,Yes,Yes,No,No,No,No,
397,914,Woman,Faculty of Optics and Optometry of Terrassa (FOOT),Second,4,8233,On foot,Renfe,On foot,Yes,,,,Yes,No,No,Yes,No,No,No,
398,916,Man,Faculty of Mathematics and Statistics (FME),Fourth,5,8027,Underground,Underground,,Yes,,,,Yes,No,Yes,No,No,No,No,
399,917,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8401,On foot,Renfe,Bus,Yes,,,,Yes,No,No,Yes,No,No,No,
400,918,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,6,8600,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,Yes,No,Yes,No,No,No,No,
401,919,Man,Polytechnic School of Engineering of Manresa (EPSEM),Third,5,8241,On foot,On foot,On foot,Yes,,,,No,No,Yes,No,No,No,Yes,
402,920,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,3,8005,On foot,Underground,,Yes,,,,No,No,No,Yes,Yes,No,No,
403,922,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Second,1,8029,Combustion or electric motorcycle with non-renewable source charging,,,Yes,,,,No,No,Yes,No,No,No,Yes,
404,923,Woman,Barcelona School of Informatics (FIB),Second,2,0,Bus,On foot,,No,On foot,Bus,,Yes,No,No,Yes,No,No,No,
405,926,Woman,Faculty of Optics and Optometry of Terrassa (FOOT),Second,4,8904,Underground,FGC,On foot,Yes,,,,Yes,No,No,No,No,No,No,
406,931,Woman,School of Architecture of Vallès (ETSAV),Second,3,8192,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,Yes,No,No,No,No,No,No,
407,934,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,5,8500,On foot,Electric motorcycle,On foot,Yes,,,,Yes,No,No,No,No,No,No,There are not enough buses and with the ones that there are I would not arrive at work on time
408,935,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Second,5,8921,,,Underground,Yes,,,,No,No,No,No,Yes,No,No,
409,936,Man,Barcelona School of Informatics (FIB),Second,1,8185,On foot,FGC,Bicycle,Yes,,,,Yes,Yes,No,No,No,No,No,
410,937,Man,School of Engineering of Barcelona East (EEBE),Third,5,8339,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,Yes,No,No,No,No,No,Yes,
411,940,Woman,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Second,5,8032,On foot,Underground,Renfe,No,Renfe,Underground,Bus,No,No,No,Yes,No,No,No,
412,941,Man,School of Architecture of Vallès (ETSAV),Third,5,8172,On foot,,,Yes,,,,Yes,No,No,No,No,Yes,No,
413,944,Man,Faculty of Mathematics and Statistics (FME),Fourth,3,8001,Bicycle,,,Yes,,,,No,Yes,No,No,No,Yes,No,
414,946,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,27600,Bus,FGC,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
415,949,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Third,6,8173,FGC,Bus,On foot,Yes,,,,No,No,Yes,No,No,No,Yes,
416,956,Woman,Faculty of Optics and Optometry of Terrassa (FOOT),First,4,8198,FGC,On foot,,Yes,,,,No,No,No,Yes,No,No,No,
417,958,Man,School of Architecture of Vallès (ETSAV),First,5,8430,On foot,Bus,Renfe,Yes,,,,Yes,No,No,No,No,No,No,
418,959,Man,Faculty of Mathematics and Statistics (FME),First,5,8024,On foot,Underground,,No,Bus,On foot,,No,Yes,No,No,No,No,No,
419,960,Man,Polytechnic University School of Building of Barcelona (EPSEB),First,4,8019,On foot,Bus,On foot,Yes,,,,No,No,Yes,No,No,No,No,
420,961,Man,School of Architecture of Vallès (ETSAV),First,5,8192,On foot,FGC,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
421,962,Man,Barcelona School of Informatics (FIB),Third,2,8902,On foot,Bus,On foot,Yes,,,,No,Yes,Yes,No,No,No,No,
422,963,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),First,5,43881,Bus,On foot,Bus,Yes,,,,No,Yes,Yes,No,No,No,No,
423,964,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Second,6,8021,Tram,Tram,Tram,Yes,,,,Yes,Yes,No,No,No,No,No,
424,965,Woman,Barcelona School of Informatics (FIB),First,5,8918,Tram,Bus,Underground,Yes,,,,No,No,No,Yes,No,No,No,
425,967,Man,Faculty of Mathematics and Statistics (FME),Third,5,8001,On foot,Underground,,Yes,,,,Yes,No,Yes,No,No,No,No,
426,968,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Third,3,8036,On foot,Renfe,Renfe,Yes,,,,No,Yes,No,No,No,No,No,
427,969,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,4,8170,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,No,No,No,No,No,No,Yes,
428,971,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),First,5,8023,On foot,Underground,On foot,Yes,,,,No,No,Yes,No,Yes,No,No,
429,972,Man,Barcelona School of Informatics (FIB),First,4,8001,Underground,On foot,,Yes,,,,Yes,No,Yes,No,No,No,No,
430,973,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,5,8001,On foot,Underground,,Yes,,,,Yes,No,No,No,Yes,No,No,
431,974,Man,Barcelona School of Informatics (FIB),Second,4,8019,On foot,Bus,On foot,Yes,,,,No,No,Yes,No,No,No,No,
432,979,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,8023,Underground,,,Yes,,,,Yes,No,No,No,No,No,No,
433,980,Man,School of Engineering of Barcelona East (EEBE),Third,5,8110,Renfe,Renfe,Tram,No,Tram,Underground,Renfe,Yes,Yes,No,No,No,No,No,
434,983,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8221,On foot,On foot,On foot,Yes,,,,No,No,Yes,No,Yes,No,No,
435,984,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,3,,Renfe,,,Yes,,,,No,No,No,Yes,No,No,No,
436,985,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8030,On foot,Bus,On foot,No,On foot,Renfe,On foot,No,Yes,No,No,No,No,No,
437,986,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Fourth,5,8023,Bus,On foot,Bus,No,Underground,Bus,On foot,Yes,No,Yes,No,No,No,No,
438,990,Man,Barcelona School of Informatics (FIB),First,4,8291,On foot,Renfe,Underground,Yes,,,,No,No,No,Yes,No,No,No,
439,993,Woman,Polytechnic School of Engineering of Manresa (EPSEM),First,3,8650,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,Yes,No,No,No,No,No,Yes,
440,995,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8028,Underground,FGC,,Yes,,,,No,Yes,No,No,No,No,No,
441,996,Woman,School of Architecture of Vallès (ETSAV),Second,5,8002,Underground,FGC,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
442,997,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,5,8008,Bus,,,Yes,,,,Yes,No,Yes,No,No,No,No,
443,999,Woman,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),Third,5,8860,Bicycle,Bicycle,On foot,Yes,,,,No,Yes,Yes,No,No,No,No,
444,1000,Woman,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),First,4,8032,Bicycle,Renfe,On foot,Yes,,,,Yes,No,No,No,No,No,No,
445,1002,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Third,5,8028,On foot,On foot,On foot,Yes,,,,Yes,No,No,No,No,Yes,No,
446,1003,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,4,8034,On foot,Bus,,Yes,,,,No,Yes,No,No,No,No,No,
447,1004,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,5,8203,On foot,Renfe,FGC,Yes,,,,No,No,No,Yes,No,No,No,
448,1006,Man,Faculty of Mathematics and Statistics (FME),Fourth,5,8024,Combustion or electric motorcycle with non-renewable source charging,,,Yes,,,,Yes,No,Yes,No,No,No,No,
449,1009,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8860,On foot,Renfe,FGC,No,FGC,Renfe,On foot,No,No,No,No,No,No,No,It is what I can afford
450,1010,Man,Barcelona School of Informatics (FIB),First,5,8030,Renfe,Underground,On foot,Yes,,,,Yes,No,No,No,Yes,No,No,
451,1012,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Third,5,8026,On foot,Underground,,Yes,,,,Yes,Yes,No,No,No,No,No,
452,1013,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8225,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,No,Yes,No,No,No,No,Yes,
453,1014,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,3,8018,Combustion or electric motorcycle with non-renewable source charging,,,Yes,,,,Yes,No,No,No,No,No,Yes,
454,1015,Man,Higher Technical School of Architecture of Barcelona (ETSAB),Fourth,5,8025,On foot,Underground,,No,Tram,On foot,,No,No,No,No,No,Yes,No,
455,1018,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),First,5,8850,Renfe,On foot,,Yes,,,,Yes,Yes,No,No,No,No,No,
456,1019,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),Second,5,8620,Bus,Bus,Bus,No,Underground,On foot,,No,No,No,Yes,No,No,No,
457,1021,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,2,8207,Taxi,Taxi,,Yes,,,,No,No,No,No,No,No,Yes,
458,1022,Man,Polytechnic School of Engineering of Manresa (EPSEM),Third,5,8784,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,Yes,No,No,Yes,No,No,No,
459,1023,Woman,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Fourth,5,43700,Electric vehicle (with Zero label and renewable source charging),,,Yes,,,,Yes,No,Yes,No,No,No,No,
460,1024,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Fourth,4,8030,Bus,,,Yes,,,,No,No,Yes,No,No,No,No,It is longer than the subway but I don't have to transfer and it is more comfortable.
461,1025,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,4,8042,Underground,Bicycle,,Yes,,,,Yes,No,No,No,Yes,No,No,
462,1026,Man,Faculty of Mathematics and Statistics (FME),Fourth,5,8924,Underground,On foot,,Yes,,,,No,No,Yes,No,Yes,No,No,
463,1027,Woman,School of Architecture of Vallès (ETSAV),First,5,8970,On foot,Underground,FGC,No,FGC,Underground,On foot,No,Yes,No,Yes,No,No,No,
464,1030,Woman,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Second,5,8860,Renfe,On foot,On foot,Yes,,,,No,Yes,No,No,Yes,No,No,
465,1033,Man,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Second,5,,On foot,,,Yes,,,,Yes,No,No,Yes,No,No,No,
466,1035,Man,Faculty of Nautical of Barcelona (FNB),Third,4,8020,On foot,Underground,,Yes,,,,Yes,Yes,No,No,No,No,No,
467,1036,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),First,5,8905,Bus,,,Yes,,,,Yes,No,Yes,No,No,No,No,
468,1040,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Third,5,8980,On foot,Tram,On foot,No,On foot,Bus,On foot,No,Yes,Yes,No,No,No,No,
469,1041,Man,Polytechnic University School of Building of Barcelona (EPSEB),Third,4,,,,,Yes,,,,No,No,No,Yes,No,No,No,
470,1042,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,1,17007,Bus,Renfe,Renfe,Yes,,,,Yes,No,No,No,No,No,No,
471,1043,Man,Higher Technical School of Architecture of Barcelona (ETSAB),First,5,8027,On foot,Underground,Tram,Yes,,,,Yes,Yes,No,No,No,No,No,
472,1044,Man,School of Engineering of Barcelona East (EEBE),First,5,8225,Bus,FGC,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,,,,Yes,No,No,No,No,No,No,
473,1048,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,5,8303,Bus,On foot,Underground,Yes,,,,No,No,No,Yes,No,No,No,"There is no parking, so I could not bring a private vehicle even though it would be the most economical and fastest option"
474,1049,Non binary,Faculty of Optics and Optometry of Terrassa (FOOT),First,4,43882,On foot,Renfe,On foot,Yes,,,,No,No,No,Yes,No,No,No,
475,1051,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,3,8204,,,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,,,,No,No,No,No,No,No,Yes,
476,1052,Man,Barcelona School of Informatics (FIB),Third,5,8630,FGC,Underground,,No,Bus,On foot,,Yes,No,Yes,No,No,No,No,
477,1054,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,4,8191,FGC,Renfe,,Yes,,,,Yes,Yes,No,No,No,No,No,
