,COURSE,UPC Code and Acronyms,Municipality_Course,Postal Code Course,Total Course
544,22-23,205 ESEIAAT,Valencia,46019,1
545,22-23,205 ESEIAAT,Vallbona d,8785,1
546,22-23,205 ESEIAAT,Vallirana,8759,10
547,22-23,205 ESEIAAT,Vandellòs ,43890,1
548,22-23,205 ESEIAAT,Vic,8500,5
549,22-23,205 ESEIAAT,Vielha e M,25539,1
550,22-23,205 ESEIAAT,Viladecans,8840,7
551,22-23,205 ESEIAAT,Viladecava,8232,32
552,22-23,205 ESEIAAT,Vilafranca,8720,10
553,22-23,205 ESEIAAT,Vilalba Sa,8450,1
554,22-23,205 ESEIAAT,Vilanova d,8410,4
555,22-23,205 ESEIAAT,Vilanova d,8788,1
556,22-23,205 ESEIAAT,Vilanova i,8800,5
557,22-23,205 ESEIAAT,Vilassar d,8339,4
558,22-23,205 ESEIAAT,Vilassar d,8340,11
559,22-23,205 ESEIAAT,Vinaròs,12500,1
560,22-23,205 ESEIAAT,Vitoria-Ga,1010,1
561,22-23,205 ESEIAAT,Zaragoza,50008,2
562,22-23,205 ESEIAAT,Zaragoza,50011,1
563,22-23,210 ETSAB,Abrera,8630,2
564,22-23,210 ETSAB,Abrera,99999,1
565,22-23,210 ETSAB,Aiguafreda,8570,1
566,22-23,210 ETSAB,Alacón,44549,1
567,22-23,210 ETSAB,Alella,8328,8
568,22-23,210 ETSAB,Ametlla de,8480,3
569,22-23,210 ETSAB,Amposta,43870,1
570,22-23,210 ETSAB,Arenys de ,8350,3
571,22-23,210 ETSAB,Arenys de ,8358,1
572,22-23,210 ETSAB,Argentona,8310,5
573,22-23,210 ETSAB,Artés,8271,2
574,22-23,210 ETSAB,Artesa de ,25730,1
575,22-23,210 ETSAB,Badalona,4923,1
576,22-23,210 ETSAB,Badalona,7800,1
577,22-23,210 ETSAB,Badalona,8001,1
578,22-23,210 ETSAB,Badalona,8029,1
579,22-23,210 ETSAB,Badalona,8391,1
580,22-23,210 ETSAB,Badalona,8911,9
581,22-23,210 ETSAB,Badalona,8912,12
582,22-23,210 ETSAB,Badalona,8913,4
583,22-23,210 ETSAB,Badalona,8914,1
584,22-23,210 ETSAB,Badalona,8915,2
585,22-23,210 ETSAB,Badalona,8917,7
586,22-23,210 ETSAB,Badalona,8918,3
587,22-23,210 ETSAB,Badia del ,8214,1
588,22-23,210 ETSAB,Balenyà,8550,1
589,22-23,210 ETSAB,Banyeres d,43700,2
590,22-23,210 ETSAB,Banyeres d,43715,1
591,22-23,210 ETSAB,Barakaldo,48902,1
592,22-23,210 ETSAB,Barberà de,8210,6
593,22-23,210 ETSAB,Barcelona,0,1
594,22-23,210 ETSAB,Barcelona,3540,1
595,22-23,210 ETSAB,Barcelona,4820,1
596,22-23,210 ETSAB,Barcelona,7008,1
597,22-23,210 ETSAB,Barcelona,7800,2
598,22-23,210 ETSAB,Barcelona,8001,59
599,22-23,210 ETSAB,Barcelona,8002,13
600,22-23,210 ETSAB,Barcelona,8003,20
601,22-23,210 ETSAB,Barcelona,8004,40
602,22-23,210 ETSAB,Barcelona,8005,29
603,22-23,210 ETSAB,Barcelona,8006,41
604,22-23,210 ETSAB,Barcelona,8007,8
605,22-23,210 ETSAB,Barcelona,8008,10
606,22-23,210 ETSAB,Barcelona,8009,8
607,22-23,210 ETSAB,Barcelona,8010,9
608,22-23,210 ETSAB,Barcelona,8011,32
609,22-23,210 ETSAB,Barcelona,8012,35
610,22-23,210 ETSAB,Barcelona,8013,50
611,22-23,210 ETSAB,Barcelona,8014,49
612,22-23,210 ETSAB,Barcelona,8015,48
613,22-23,210 ETSAB,Barcelona,8016,12
614,22-23,210 ETSAB,Barcelona,8017,56
615,22-23,210 ETSAB,Barcelona,8018,18
616,22-23,210 ETSAB,Barcelona,8019,11
617,22-23,210 ETSAB,Barcelona,8020,15
618,22-23,210 ETSAB,Barcelona,8021,35
619,22-23,210 ETSAB,Barcelona,8022,20
620,22-23,210 ETSAB,Barcelona,8023,43
621,22-23,210 ETSAB,Barcelona,8024,32
622,22-23,210 ETSAB,Barcelona,8025,48
623,22-23,210 ETSAB,Barcelona,8026,22
624,22-23,210 ETSAB,Barcelona,8027,29
625,22-23,210 ETSAB,Barcelona,8028,182
626,22-23,210 ETSAB,Barcelona,8029,81
627,22-23,210 ETSAB,Barcelona,8030,11
628,22-23,210 ETSAB,Barcelona,8031,16
629,22-23,210 ETSAB,Barcelona,8032,22
630,22-23,210 ETSAB,Barcelona,8033,7
631,22-23,210 ETSAB,Barcelona,8034,82
632,22-23,210 ETSAB,Barcelona,8035,17
633,22-23,210 ETSAB,Barcelona,8036,35
634,22-23,210 ETSAB,Barcelona,8037,17
635,22-23,210 ETSAB,Barcelona,8038,14
636,22-23,210 ETSAB,Barcelona,8041,17
637,22-23,210 ETSAB,Barcelona,8042,9
638,22-23,210 ETSAB,Barcelona,8080,1
639,22-23,210 ETSAB,Barcelona,8130,1
640,22-23,210 ETSAB,Barcelona,8150,2
641,22-23,210 ETSAB,Barcelona,8191,1
642,22-23,210 ETSAB,Barcelona,8902,1
643,22-23,210 ETSAB,Barcelona,8903,4
644,22-23,210 ETSAB,Barcelona,8904,1
645,22-23,210 ETSAB,Barcelona,8905,1
646,22-23,210 ETSAB,Barcelona,8906,2
647,22-23,210 ETSAB,Barcelona,8912,1
648,22-23,210 ETSAB,Barcelona,8917,1
649,22-23,210 ETSAB,Barcelona,8923,1
650,22-23,210 ETSAB,Barcelona,8940,1
651,22-23,210 ETSAB,Barcelona,9022,1
652,22-23,210 ETSAB,Barcelona,30205,1
653,22-23,210 ETSAB,Barcelona,43001,1
654,22-23,210 ETSAB,Barcelona,45471,1
655,22-23,210 ETSAB,Barcelona,50016,1
656,22-23,210 ETSAB,Barcelona,66455,1
657,22-23,210 ETSAB,Begues,8859,4
658,22-23,210 ETSAB,Bellprat,80016,1
659,22-23,210 ETSAB,Bellvei,43719,1
660,22-23,210 ETSAB,Benalmáden,29631,1
661,22-23,210 ETSAB,Berga,8600,1
662,22-23,210 ETSAB,Bigues i R,8415,1
663,22-23,210 ETSAB,Bigues i R,8416,1
664,22-23,210 ETSAB,Bilbao,48005,1
665,22-23,210 ETSAB,Binissalem,7350,1
666,22-23,210 ETSAB,Blanes,17300,3
667,22-23,210 ETSAB,Borrassà,17770,1
668,22-23,210 ETSAB,Cabrera d',8718,1
669,22-23,210 ETSAB,Cabrera de,8349,2
670,22-23,210 ETSAB,Cabrils,8348,6
671,22-23,210 ETSAB,Calafell,43820,2
672,22-23,210 ETSAB,Calafell,43882,1
673,22-23,210 ETSAB,Caldes de ,8140,4
674,22-23,210 ETSAB,Caldes d'E,8393,1
675,22-23,210 ETSAB,Calella,8370,1
676,22-23,210 ETSAB,Calonge,17251,2
677,22-23,210 ETSAB,Calvià,7160,1
678,22-23,210 ETSAB,Cambrils,43850,1
679,22-23,210 ETSAB,Camprodon,17867,1
680,22-23,210 ETSAB,Canet de M,8360,2
681,22-23,210 ETSAB,Canovelles,8420,1
682,22-23,210 ETSAB,Carballo,15100,1
683,22-23,210 ETSAB,Cardedeu,8440,8
684,22-23,210 ETSAB,Cardona,8261,1
685,22-23,210 ETSAB,Carme,8787,1
686,22-23,210 ETSAB,"Castell, E",7720,1
687,22-23,210 ETSAB,Castellar ,8211,4
688,22-23,210 ETSAB,Castellbis,8020,1
689,22-23,210 ETSAB,Castellbis,8755,2
690,22-23,210 ETSAB,Castellcir,8183,1
691,22-23,210 ETSAB,Castelldef,8860,37
692,22-23,210 ETSAB,Castellet ,8729,1
693,22-23,210 ETSAB,Castellter,8183,1
694,22-23,210 ETSAB,Castellví ,8769,3
695,22-23,210 ETSAB,Cerdanyola,8193,2
696,22-23,210 ETSAB,Cerdanyola,8290,11
697,22-23,210 ETSAB,Cervera,25200,1
698,22-23,210 ETSAB,Ciutadella,7760,1
699,22-23,210 ETSAB,Collbató,8293,3
700,22-23,210 ETSAB,Corbera d',43784,1
701,22-23,210 ETSAB,Corbera de,8173,1
702,22-23,210 ETSAB,Corbera de,8757,2
703,22-23,210 ETSAB,Cornellà d,8940,27
704,22-23,210 ETSAB,Creixell,43839,2
705,22-23,210 ETSAB,Cubelles,8880,5
706,22-23,210 ETSAB,Cunit,43881,2
707,22-23,210 ETSAB,Cunit,43882,1
708,22-23,210 ETSAB,Donostia,20005,1
709,22-23,210 ETSAB,Eivissa,7800,1
710,22-23,210 ETSAB,El Boalo,28413,1
711,22-23,210 ETSAB,El Brull,8559,1
712,22-23,210 ETSAB,El Masnou,8004,1
713,22-23,210 ETSAB,El Masnou,8320,10
714,22-23,210 ETSAB,El Montmel,43714,1
715,22-23,210 ETSAB,El Pla del,8733,1
716,22-23,210 ETSAB,El Prat de,8820,16
717,22-23,210 ETSAB,El Prat de,8829,1
718,22-23,210 ETSAB,El Vendrel,43700,3
719,22-23,210 ETSAB,El Vendrel,43880,1
720,22-23,210 ETSAB,Elche,3204,1
721,22-23,210 ETSAB,Esparregue,8292,8
722,22-23,210 ETSAB,Esplugues ,8950,18
723,22-23,210 ETSAB,"Esquirol, ",8511,1
724,22-23,210 ETSAB,Estella-Li,31200,2
725,22-23,210 ETSAB,Figueres,17600,2
726,22-23,210 ETSAB,Folguerole,8033,1
727,22-23,210 ETSAB,Font-rubí,8736,2
728,22-23,210 ETSAB,Formentera,7871,1
729,22-23,210 ETSAB,Fraga,22520,1
730,22-23,210 ETSAB,Franqueses,8520,3
731,22-23,210 ETSAB,Franqueses,8521,1
732,22-23,210 ETSAB,Fuentes de,50740,1
733,22-23,210 ETSAB,Galdakao,48960,1
734,22-23,210 ETSAB,Gavà,8850,11
735,22-23,210 ETSAB,Gijón,33212,1
736,22-23,210 ETSAB,Girona,17001,1
737,22-23,210 ETSAB,Girona,17002,1
738,22-23,210 ETSAB,Girona,17003,2
739,22-23,210 ETSAB,Girona,17005,1
740,22-23,210 ETSAB,Girona,17006,2
741,22-23,210 ETSAB,Girona,17007,1
742,22-23,210 ETSAB,Girona,17244,1
743,22-23,210 ETSAB,Granollers,8401,3
744,22-23,210 ETSAB,Granollers,8402,6
745,22-23,210 ETSAB,Granollers,8403,1
746,22-23,210 ETSAB,Hospitalet,8028,1
747,22-23,210 ETSAB,Hospitalet,8901,11
748,22-23,210 ETSAB,Hospitalet,8902,13
749,22-23,210 ETSAB,Hospitalet,8903,15
750,22-23,210 ETSAB,Hospitalet,8904,10
751,22-23,210 ETSAB,Hospitalet,8905,14
752,22-23,210 ETSAB,Hospitalet,8906,11
753,22-23,210 ETSAB,Hospitalet,8907,7
754,22-23,210 ETSAB,Hospitalet,8908,1
755,22-23,210 ETSAB,Huesca,22001,1
756,22-23,210 ETSAB,Huesca,22004,1
757,22-23,210 ETSAB,Igualada,8700,15
758,22-23,210 ETSAB,La Garriga,8530,7
759,22-23,210 ETSAB,La Granada,8792,1
760,22-23,210 ETSAB,La Llagost,8120,1
761,22-23,210 ETSAB,La Palma d,8756,1
762,22-23,210 ETSAB,La Roca de,8430,3
763,22-23,210 ETSAB,La Sénia,43560,1
764,22-23,210 ETSAB,La Seu d'U,25700,2
765,22-23,210 ETSAB,La Tallada,17134,1
766,22-23,210 ETSAB,La Torre d,25513,1
767,22-23,210 ETSAB,La Vall d',17176,1
768,22-23,210 ETSAB,L'Arboç,43720,1
769,22-23,210 ETSAB,Lekeitio,48280,1
770,22-23,210 ETSAB,León,24005,1
771,22-23,210 ETSAB,Llagostera,17240,1
772,22-23,210 ETSAB,Llanera,33690,1
773,22-23,210 ETSAB,Lleida,25001,2
774,22-23,210 ETSAB,Lleida,25004,1
775,22-23,210 ETSAB,Lleida,25005,3
776,22-23,210 ETSAB,Lleida,25008,1
777,22-23,210 ETSAB,Lleida,25196,1
778,22-23,210 ETSAB,Llers,17730,1
779,22-23,210 ETSAB,Lliçà d'Am,8186,1
780,22-23,210 ETSAB,Lliçà de V,8185,1
781,22-23,210 ETSAB,Llinars de,8450,1
782,22-23,210 ETSAB,Lloret de ,7518,1
783,22-23,210 ETSAB,Lloret de ,17310,1
784,22-23,210 ETSAB,Llubí,7430,1
785,22-23,210 ETSAB,Llucmajor,7600,1
786,22-23,210 ETSAB,Madrid,28011,1
787,22-23,210 ETSAB,Madrid,28022,1
788,22-23,210 ETSAB,Madrid,28029,1
789,22-23,210 ETSAB,Malgrat de,8380,1
790,22-23,210 ETSAB,Manacor,7500,1
791,22-23,210 ETSAB,Manacor,7680,2
792,22-23,210 ETSAB,Manlleu,8560,1
793,22-23,210 ETSAB,Manresa,8240,1
794,22-23,210 ETSAB,Manresa,8241,5
795,22-23,210 ETSAB,Manresa,8242,6
796,22-23,210 ETSAB,Manresa,8243,4
797,22-23,210 ETSAB,Maó-Mahón,7712,1
798,22-23,210 ETSAB,Martorell,8760,10
799,22-23,210 ETSAB,Martorelle,8107,1
800,22-23,210 ETSAB,Masies de ,8508,2
801,22-23,210 ETSAB,Masquefa,8783,1
802,22-23,210 ETSAB,Matadepera,8230,2
803,22-23,210 ETSAB,Mataró,8301,2
804,22-23,210 ETSAB,Mataró,8302,5
805,22-23,210 ETSAB,Mataró,8303,9
806,22-23,210 ETSAB,Mataró,8304,11
807,22-23,210 ETSAB,Mediona,8773,1
808,22-23,210 ETSAB,Mijas,29649,1
809,22-23,210 ETSAB,Moià,8180,1
810,22-23,210 ETSAB,Molins de ,8750,13
811,22-23,210 ETSAB,Mollet del,8100,9
812,22-23,210 ETSAB,Moncofa,12593,1
813,22-23,210 ETSAB,Monistrol ,8275,1
814,22-23,210 ETSAB,Monistrol ,8691,1
815,22-23,210 ETSAB,Montcada i,8110,11
816,22-23,210 ETSAB,Montgat,8390,3
817,22-23,210 ETSAB,Montmeló,8160,1
818,22-23,210 ETSAB,Montornès ,8170,4
819,22-23,210 ETSAB,Montuïri,7230,1
820,22-23,210 ETSAB,Monzón,22400,1
821,22-23,210 ETSAB,Mura,8278,1
822,22-23,210 ETSAB,Òdena,8711,4
823,22-23,210 ETSAB,Olèrdola,8734,2
824,22-23,210 ETSAB,Olesa de M,8640,7
825,22-23,210 ETSAB,Olivella,8818,1
826,22-23,210 ETSAB,Olot,17800,5
827,22-23,210 ETSAB,Orihuela,3300,1
828,22-23,210 ETSAB,Palafolls,8389,3
829,22-23,210 ETSAB,Palafrugel,17200,1
830,22-23,210 ETSAB,Palamós,17230,1
831,22-23,210 ETSAB,Palau-soli,8184,3
832,22-23,210 ETSAB,Pallejà,8780,1
833,22-23,210 ETSAB,Palma de M,7003,1
834,22-23,210 ETSAB,Palma de M,7004,1
835,22-23,210 ETSAB,Palma de M,7005,1
836,22-23,210 ETSAB,Palma de M,7006,1
837,22-23,210 ETSAB,Palma de M,7011,2
838,22-23,210 ETSAB,Palma de M,7013,1
839,22-23,210 ETSAB,Palma de M,7120,1
840,22-23,210 ETSAB,Palma de M,7159,1
841,22-23,210 ETSAB,Pals,17256,3
842,22-23,210 ETSAB,Pamplona,31002,1
843,22-23,210 ETSAB,Pamplona,31007,1
844,22-23,210 ETSAB,Pamplona,31008,1
845,22-23,210 ETSAB,Pamplona,31011,1
846,22-23,210 ETSAB,Pamplona,31486,1
847,22-23,210 ETSAB,Parets del,8150,2
848,22-23,210 ETSAB,Piera,8784,1
849,22-23,210 ETSAB,Pineda de ,8397,2
850,22-23,210 ETSAB,Poio,36995,1
851,22-23,210 ETSAB,Polinyà,8213,2
852,22-23,210 ETSAB,Ponferrada,24411,1
853,22-23,210 ETSAB,Porcuna,23790,1
854,22-23,210 ETSAB,Portugalet,48920,1
855,22-23,210 ETSAB,Pozuelo de,28224,2
856,22-23,210 ETSAB,Premià de ,8330,13
857,22-23,210 ETSAB,Premià de ,8338,2
858,22-23,210 ETSAB,Puigcerdà,17520,1
859,22-23,210 ETSAB,Redondela,36818,1
860,22-23,210 ETSAB,Reus,43201,4
861,22-23,210 ETSAB,Reus,43202,1
862,22-23,210 ETSAB,Reus,43203,1
863,22-23,210 ETSAB,Reus,43204,1
864,22-23,210 ETSAB,Reus,43206,1
865,22-23,210 ETSAB,Ripollet,8291,6
866,22-23,210 ETSAB,Rubí,8191,11
867,22-23,210 ETSAB,Sabadell,8201,5
868,22-23,210 ETSAB,Sabadell,8202,3
869,22-23,210 ETSAB,Sabadell,8203,5
870,22-23,210 ETSAB,Sabadell,8204,3
871,22-23,210 ETSAB,Sabadell,8205,4
872,22-23,210 ETSAB,Sabadell,8206,4
873,22-23,210 ETSAB,Sabadell,8207,4
874,22-23,210 ETSAB,Sabadell,8208,8
875,22-23,210 ETSAB,Sagàs,8517,1
876,22-23,210 ETSAB,Salou,43840,1
877,22-23,210 ETSAB,Salt,17190,1
878,22-23,210 ETSAB,Sant Adrià,8019,1
879,22-23,210 ETSAB,Sant Adrià,8034,1
880,22-23,210 ETSAB,Sant Adrià,8930,4
881,22-23,210 ETSAB,Sant Andre,8392,2
882,22-23,210 ETSAB,Sant Andre,8740,5
883,22-23,210 ETSAB,Sant Anton,8459,2
884,22-23,210 ETSAB,Sant Boi d,8830,25
885,22-23,210 ETSAB,Sant Carle,43540,1
886,22-23,210 ETSAB,Sant Celon,8470,2
887,22-23,210 ETSAB,Sant Celon,8476,1
888,22-23,210 ETSAB,Sant Cugat,8011,1
889,22-23,210 ETSAB,Sant Cugat,8172,9
890,22-23,210 ETSAB,Sant Cugat,8173,13
891,22-23,210 ETSAB,Sant Cugat,8174,1
892,22-23,210 ETSAB,Sant Cugat,8193,1
893,22-23,210 ETSAB,Sant Cugat,8195,12
894,22-23,210 ETSAB,Sant Cugat,8196,2
895,22-23,210 ETSAB,Sant Cugat,8197,2
896,22-23,210 ETSAB,Sant Cugat,8198,1
897,22-23,210 ETSAB,Sant Cugat,8798,1
898,22-23,210 ETSAB,Sant Estev,8461,2
899,22-23,210 ETSAB,Sant Estev,8635,1
900,22-23,210 ETSAB,Sant Feliu,8182,2
901,22-23,210 ETSAB,Sant Feliu,8980,26
902,22-23,210 ETSAB,Sant Feliu,17220,2
903,22-23,210 ETSAB,Sant Fost ,8105,4
904,22-23,210 ETSAB,Sant Fruit,8272,1
905,22-23,210 ETSAB,Sant Hilar,17403,2
906,22-23,210 ETSAB,Sant Hipòl,8512,1
907,22-23,210 ETSAB,Sant Iscle,8359,1
908,22-23,210 ETSAB,Sant Joan ,8250,2
909,22-23,210 ETSAB,Sant Joan ,8970,13
910,22-23,210 ETSAB,Sant Josep,7817,2
911,22-23,210 ETSAB,Sant Josep,7829,1
912,22-23,210 ETSAB,Sant Just ,8896,1
913,22-23,210 ETSAB,Sant Just ,8960,14
914,22-23,210 ETSAB,Sant Martí,8731,1
915,22-23,210 ETSAB,Sant Pere ,8810,5
916,22-23,210 ETSAB,Sant Pere ,8812,1
917,22-23,210 ETSAB,Sant Pol d,8395,2
918,22-23,210 ETSAB,Sant Quirz,8192,3
919,22-23,210 ETSAB,Sant Sadur,8770,1
920,22-23,210 ETSAB,Sant Salva,8253,2
921,22-23,210 ETSAB,Sant Vicen,8394,2
922,22-23,210 ETSAB,Sant Vicen,8571,1
923,22-23,210 ETSAB,Sant Vicen,8620,5
924,22-23,210 ETSAB,Santa Colo,8690,5
925,22-23,210 ETSAB,Santa Colo,8921,12
926,22-23,210 ETSAB,Santa Colo,8922,4
927,22-23,210 ETSAB,Santa Colo,8923,3
928,22-23,210 ETSAB,Santa Colo,8924,5
929,22-23,210 ETSAB,Santa Cris,17246,1
930,22-23,210 ETSAB,Santa Cruz,38003,1
931,22-23,210 ETSAB,Santa Eulà,7819,1
932,22-23,210 ETSAB,Santa Eulà,7850,1
933,22-23,210 ETSAB,Santa Eulà,8187,2
934,22-23,210 ETSAB,Santa Marg,8710,1
935,22-23,210 ETSAB,Santa Mari,8460,3
936,22-23,210 ETSAB,Santa Marí,7320,1
937,22-23,210 ETSAB,Santa Pau,17811,1
938,22-23,210 ETSAB,Santa Perp,8130,6
939,22-23,210 ETSAB,Santander,39005,1
940,22-23,210 ETSAB,Santiago d,15703,1
941,22-23,210 ETSAB,Santpedor,8251,4
942,22-23,210 ETSAB,Sense Info,,1
943,22-23,210 ETSAB,Sense Info,0,1
944,22-23,210 ETSAB,Sense Info,99999,28
945,22-23,210 ETSAB,Sentmenat,8181,2
946,22-23,210 ETSAB,Sevilla,41010,1
947,22-23,210 ETSAB,Sitges,8870,15
948,22-23,210 ETSAB,Solsona,25280,1
949,22-23,210 ETSAB,Subirats,8739,2
950,22-23,210 ETSAB,Súria,8260,2
951,22-23,210 ETSAB,Taradell,8552,1
952,22-23,210 ETSAB,Tarifa,11380,1
953,22-23,210 ETSAB,Tarragona,43003,1
954,22-23,210 ETSAB,Tarragona,43005,2
955,22-23,210 ETSAB,Tarragona,43007,1
956,22-23,210 ETSAB,Tàrrega,25300,1
957,22-23,210 ETSAB,Teià,8329,6
958,22-23,210 ETSAB,Terrassa,8221,8
959,22-23,210 ETSAB,Terrassa,8222,3
960,22-23,210 ETSAB,Terrassa,8223,2
961,22-23,210 ETSAB,Terrassa,8224,2
962,22-23,210 ETSAB,Terrassa,8225,6
963,22-23,210 ETSAB,Terrassa,8227,1
964,22-23,210 ETSAB,Tiana,8391,5
965,22-23,210 ETSAB,Tona,8551,2
966,22-23,210 ETSAB,Torelló,8570,2
967,22-23,210 ETSAB,Torrecilla,44640,1
968,22-23,210 ETSAB,Torredemba,43830,1
969,22-23,210 ETSAB,Torrelavit,8775,1
970,22-23,210 ETSAB,Torrelles ,8629,4
971,22-23,210 ETSAB,Torroella ,17257,1
972,22-23,210 ETSAB,Tortosa,43500,2
973,22-23,210 ETSAB,Tortosa,43590,1
974,22-23,210 ETSAB,Valle de T,48510,1
975,22-23,210 ETSAB,Vallgorgui,8471,1
976,22-23,210 ETSAB,Vallirana,8759,4
977,22-23,210 ETSAB,Vallromane,8188,1
978,22-23,210 ETSAB,Vic,8500,13
979,22-23,210 ETSAB,Vic,8550,1
980,22-23,210 ETSAB,Viladecans,8840,11
981,22-23,210 ETSAB,Viladecava,8232,2
982,22-23,210 ETSAB,Viladrau,17406,1
983,22-23,210 ETSAB,Vilafant,17740,1
984,22-23,210 ETSAB,Vilafranca,7250,1
985,22-23,210 ETSAB,Vilafranca,8720,7
986,22-23,210 ETSAB,Vilamalla,17469,1
987,22-23,210 ETSAB,Vilanova d,8788,5
988,22-23,210 ETSAB,Vilanova i,8800,21
989,22-23,210 ETSAB,Vilassar d,8338,1
990,22-23,210 ETSAB,Vilassar d,8339,4
991,22-23,210 ETSAB,Vilassar d,8340,6
992,22-23,210 ETSAB,Villanueva,28692,1
993,22-23,210 ETSAB,Vinyols i ,43391,1
994,22-23,210 ETSAB,Viver i Se,8673,1
995,22-23,210 ETSAB,Yeles,45220,1
996,22-23,210 ETSAB,Zaragoza,50009,2
997,22-23,230 ETSETB,Abrera,8630,2
998,22-23,230 ETSETB,Agramunt,25310,2
999,22-23,230 ETSETB,Alcarràs,25180,1
1000,22-23,230 ETSETB,Alcover,43460,1
1001,22-23,230 ETSETB,Alella,8328,2
1002,22-23,230 ETSETB,Alguaire,25125,1
1003,22-23,230 ETSETB,Alpicat,25110,1
1004,22-23,230 ETSETB,Ametlla de,8480,3
1005,22-23,230 ETSETB,Arbeca,25140,1
1006,22-23,230 ETSETB,Arbúcies,17401,1
1007,22-23,230 ETSETB,Arenys de ,8350,3
1008,22-23,230 ETSETB,Arenys de ,8358,1
1009,22-23,230 ETSETB,Argentona,8310,3
1010,22-23,230 ETSETB,Artà,7570,1
1011,22-23,230 ETSETB,Artés,8271,1
1012,22-23,230 ETSETB,Badalona,8906,1
1013,22-23,230 ETSETB,Badalona,8911,3
1014,22-23,230 ETSETB,Badalona,8912,3
1015,22-23,230 ETSETB,Badalona,8913,2
1016,22-23,230 ETSETB,Badalona,8914,1
1017,22-23,230 ETSETB,Badalona,8915,3
1018,22-23,230 ETSETB,Badalona,8916,2
1019,22-23,230 ETSETB,Badalona,8917,9
1020,22-23,230 ETSETB,Badalona,8918,2
1021,22-23,230 ETSETB,Badia del ,8214,1
1022,22-23,230 ETSETB,Barberà de,8210,5
1023,22-23,230 ETSETB,Barcelona,0,1
1024,22-23,230 ETSETB,Barcelona,8000,1
1025,22-23,230 ETSETB,Barcelona,8001,21
1026,22-23,230 ETSETB,Barcelona,8002,8
1027,22-23,230 ETSETB,Barcelona,8003,6
1028,22-23,230 ETSETB,Barcelona,8004,11
1029,22-23,230 ETSETB,Barcelona,8005,20
1030,22-23,230 ETSETB,Barcelona,8006,29
1031,22-23,230 ETSETB,Barcelona,8007,4
1032,22-23,230 ETSETB,Barcelona,8008,4
1033,22-23,230 ETSETB,Barcelona,8009,12
1034,22-23,230 ETSETB,Barcelona,8010,7
1035,22-23,230 ETSETB,Barcelona,8011,7
1036,22-23,230 ETSETB,Barcelona,8012,10
1037,22-23,230 ETSETB,Barcelona,8013,12
1038,22-23,230 ETSETB,Barcelona,8014,36
1039,22-23,230 ETSETB,Barcelona,8015,28
1040,22-23,230 ETSETB,Barcelona,8016,7
1041,22-23,230 ETSETB,Barcelona,8017,38
1042,22-23,230 ETSETB,Barcelona,8018,13
1043,22-23,230 ETSETB,Barcelona,8019,3
1044,22-23,230 ETSETB,Barcelona,8020,7
1045,22-23,230 ETSETB,Barcelona,8021,15
1046,22-23,230 ETSETB,Barcelona,8022,21
1047,22-23,230 ETSETB,Barcelona,8023,32
1048,22-23,230 ETSETB,Barcelona,8024,18
1049,22-23,230 ETSETB,Barcelona,8025,28
1050,22-23,230 ETSETB,Barcelona,8026,15
1051,22-23,230 ETSETB,Barcelona,8027,17
1052,22-23,230 ETSETB,Barcelona,8028,128
1053,22-23,230 ETSETB,Barcelona,8029,41
1054,22-23,230 ETSETB,Barcelona,8030,19
1055,22-23,230 ETSETB,Barcelona,8031,10
1056,22-23,230 ETSETB,Barcelona,8032,13
1057,22-23,230 ETSETB,Barcelona,8033,5
1058,22-23,230 ETSETB,Barcelona,8034,45
1059,22-23,230 ETSETB,Barcelona,8035,12
1060,22-23,230 ETSETB,Barcelona,8036,20
1061,22-23,230 ETSETB,Barcelona,8037,9
1062,22-23,230 ETSETB,Barcelona,8038,12
1063,22-23,230 ETSETB,Barcelona,8041,13
1064,22-23,230 ETSETB,Barcelona,8042,7
1065,22-23,230 ETSETB,Barcelona,8150,1
1066,22-23,230 ETSETB,Barcelona,8197,1
1067,22-23,230 ETSETB,Barcelona,8202,1
1068,22-23,230 ETSETB,Barcelona,8206,1
1069,22-23,230 ETSETB,Barcelona,8280,1
1070,22-23,230 ETSETB,Barcelona,8816,1
1071,22-23,230 ETSETB,Barcelona,8902,3
1072,22-23,230 ETSETB,Barcelona,8903,1
1073,22-23,230 ETSETB,Barcelona,8904,2
1074,22-23,230 ETSETB,Barcelona,8905,1
1075,22-23,230 ETSETB,Barcelona,8906,2
1076,22-23,230 ETSETB,Barcelona,8915,1
1077,22-23,230 ETSETB,Barcelona,8940,2
1078,22-23,230 ETSETB,Barcelona,8950,1
1079,22-23,230 ETSETB,Barcelona,8960,1
1080,22-23,230 ETSETB,Barcelona,18005,1
1081,22-23,230 ETSETB,Barcelona,27600,1
1082,22-23,230 ETSETB,Barcelona,43830,1
1083,22-23,230 ETSETB,Barcelona,43870,1
1084,22-23,230 ETSETB,Barcelona,80060,1
1085,22-23,230 ETSETB,Batea,43786,1
1086,22-23,230 ETSETB,Begues,8859,2
1087,22-23,230 ETSETB,Berga,8600,4
1088,22-23,230 ETSETB,Bescanó,17162,1
1089,22-23,230 ETSETB,Bigues i R,8415,3
1090,22-23,230 ETSETB,Blanes,17300,2
1091,22-23,230 ETSETB,Cabrera de,8349,2
1092,22-23,230 ETSETB,Cabrils,8348,3
1093,22-23,230 ETSETB,Calafell,43820,1
1094,22-23,230 ETSETB,Caldes de ,8140,1
1095,22-23,230 ETSETB,Calella,8370,2
