,Número dedeclaraciones,Renta brutamedia,Rentadisponiblemedia,Rentas del trabajo,Rentasexentas,Rentabruta,Cotizacionessocialesa la SS,Cuota resultante deautoliquidación,Rentadisponible
Almería-04013,102.196,25.827,21.137,2.151.166.073,102.896.056,2.639.426.089,100.981.467,378.361.050,2.160.124.229
04001-Centro Rambla- Centro Paseo- Plaza de Toros- Catedral,2.537,38.909,30.135,62.643.114,2.965.184,98.713.318,2.410.370,19.850.407,76.452.667
04002-La Chanca- Las Cuevas de S.Joaquín- Urb.Las Pedrizas- Col.del Morato-Almedina,5.801,19.443,16.475,91.712.260,7.347.787,112.786.003,3.995.016,13.221.475,95.569.512
04003-Pza.de la Constitución- Cerro San Cristobal-Barrio de las Cruces- El Santo,4.714,25.964,21.393,99.605.423,4.646.250,122.395.014,4.139.269,17.410.515,100.845.230
04004-Oliveros- Santa Rita,5.983,33.544,26.614,152.028.935,5.733.287,200.694.138,5.537.723,35.927.133,159.229.545
04005-Barrio Alto- Col.Montserrat-Altamira,6.816,28.305,23.054,155.666.972,7.780.634,192.927.605,6.306.579,29.491.919,157.137.532
04006-Nueva Andalucía- Regiones Devastadas- El Diezmo- La Bolera- Los Molinos,9.487,26.995,22.098,219.133.438,9.603.830,256.104.032,9.738.598,36.729.868,209.641.868
04007-500 viviendas- El Zapillo- Cortijo Grande- Ciudad Jardín- La Bolera,17.806,30.924,24.664,453.725.385,19.242.616,550.626.490,21.711.594,89.749.894,439.170.904
04008-La Molineta- Las Trincheras- Los Ángeles- La Fuentecica- Barrio de la Esperanza,9.181,20.026,17.060,159.601.448,7.848.250,183.858.485,7.676.846,19.554.564,156.627.136
04009-El Puche- La Loma- Las Chocillas- Torre Cárdenas,20.363,23.999,19.808,419.173.810,20.886.363,488.699.953,22.218.941,63.128.817,403.355.336
04120-El Bobar- La Cañada- Costacabana- Loma Cabrera- El Mamí- Venta Gaspar,7.167,21.290,18.040,117.149.170,6.110.981,152.585.163,6.103.479,17.199.855,129.289.129
04130-Alquian,2.779,17.989,15.643,37.391.954,2.090.097,49.992.284,1.987.526,4.532.125,43.472.633
04131-Retamar,4.906,28.587,23.050,109.571.333,4.804.574,140.245.811,5.513.646,21.656.725,113.084.291
Resto,4.656,19.286,16.376,73.762.830,3.836.203,89.797.793,3.641.881,9.907.755,76.248.446
Roquetas de Mar-04079,50.005,22.558,18.743,881.992.870,41.791.364,1.127.991.376,47.321.545,143.445.970,937.237.253
04720-Aguadulce-El Campillo del Moro-Parador de las Hortichuelas,19.178,27.944,22.560,434.005.113,18.800.561,535.917.218,22.744.038,80.523.157,432.658.126
04740-Las Marinas- Roquetas de Mar,29.228,19.307,16.435,429.286.700,21.697.340,564.303.300,23.501.352,60.454.334,480.352.902
Resto,1.599,17.368,15.151,18.701.057,1.293.463,27.770.858,1.076.154,2.468.479,24.226.225
Algeciras-11004,49.833,28.429,23.145,1.222.501.003,63.719.207,1.416.700.371,55.639.981,207.675.936,1.153.387.935
11201-Puerto de Algeciras- Pza. Alta,4.105,32.890,26.247,104.643.847,5.205.165,135.014.003,4.265.342,23.009.453,107.742.494
11202-Parque María Cristina- Pza. Omeyas- Pza. Constitución,3.875,28.611,23.481,94.090.516,4.835.730,110.868.918,3.709.156,16.172.792,90.986.970
11203-Urb. El Pajarete-Pza. España,5.833,25.807,21.289,131.701.692,7.521.521,150.534.658,5.884.243,20.473.532,124.176.882
11204-Urb. Los Cármenes de San Bernabé- Urb. Averroes-Recinto ferial,9.540,27.295,22.410,232.282.156,11.029.497,260.394.589,11.380.899,35.221.445,213.792.244
11205-Urb. Bahía Azul- Urb. Agualuna sn-La Menacha,8.898,30.794,24.872,236.500.606,11.910.229,274.006.942,10.589.297,42.108.759,221.308.886
11206-Rio de la Miel,4.694,21.284,18.015,89.233.210,5.470.298,99.907.168,4.457.604,10.886.246,84.563.464
11207-Nuevo San García- Urb. Torre Almirante-Urb. Villa Rosa- Vista Azul,10.612,30.061,24.236,274.884.320,14.570.261,319.004.590,12.497.219,49.312.928,257.194.442
Resto,2.276,29.424,23.560,59.164.657,3.176.504,66.969.504,2.856.220,10.490.781,53.622.552
Cádiz-11012,60.976,29.042,23.781,1.436.429.240,85.290.414,1.770.889.420,60.121.807,260.736.588,1.450.056.966
11001-Pza. de las Flores- Torre Tavira. Cámara Oscura-Calle Ancha- Pza. del Palillero,1.756,27.782,22.797,38.407.275,1.981.878,48.785.731,1.723.691,7.034.384,40.031.528
11002-Paseo Fernando Quiñones-Playa de la Caleta-Monumento Simón Bolivar-Plazuela de Jesús Nazareno,4.818,23.565,19.985,95.459.312,5.724.987,113.535.245,4.173.681,13.072.191,96.290.060
11003-Parque Genovés- Baluarte de La Candelaria- Jardines Clara Campoamor-Pza. de la Oca- Oratorio San Felipe Neri,2.706,25.914,21.462,57.058.234,3.510.972,70.123.178,2.640.802,9.405.566,58.077.029
11004-Muelle Reina Sofía- Museo de Cádiz- Oratorio de la Santa Cueva,2.315,31.502,25.453,56.060.181,3.112.386,72.928.191,2.389.044,11.616.303,58.922.843
11005-Pza. Candelaria- Catedral- Mercado Central-El Pópulo,2.312,24.188,20.377,44.761.068,2.974.832,55.923.067,2.076.375,6.735.052,47.111.641
11006-Muelle Alfonso XIII-Monumento a la Constitución de 1812,2.061,29.359,23.959,47.474.413,3.478.741,60.508.402,1.782.123,9.347.044,49.379.767
11007-Dique Seco- Punta de San Felipe- Estaciones,5.363,33.642,27.163,140.839.618,7.814.743,180.421.605,5.450.550,29.298.318,145.672.737
11008-Jardines de Varela Sur- Pza. del Árbol- Pza. Lisboa,6.471,34.364,27.648,176.361.540,9.560.834,222.369.149,7.039.271,36.417.306,178.912.572
11009-Playa de la Victoria- Hospital Universitario Puerta el Mar- Pza. San José,5.285,32.397,26.269,137.695.268,7.737.983,171.217.443,5.391.145,26.998.978,138.833.424
11010-Pº Marítimo-Estadio Nuevo Mirandilla,5.678,34.241,27.568,155.035.011,9.152.474,194.417.923,5.993.107,31.900.616,156.530.061
11011-Barrio de Puntales- La Cortadura,6.284,28.946,23.702,151.936.642,8.717.938,181.893.989,6.315.127,26.636.772,148.942.090
11012-Pº Maritimo de la Bahía- Biblioteca Municipal de Cádiz Adolfo Suarez,9.125,24.735,20.857,194.830.379,12.349.504,225.702.932,8.148.520,27.240.857,190.322.221
Resto,6.802,25.443,20.734,140.510.299,9.173.142,173.062.565,6.998.371,25.033.201,141.030.992
Jerez de la Frontera-11020,89.641,24.979,20.811,1.805.914.814,120.107.203,2.239.163.377,85.876.758,287.789.304,1.865.524.382
11400-Las Pachecas-El Mojo-Los Isletes,1.171,19.798,16.774,19.260.894,1.282.529,23.183.676,930.789,2.610.827,19.642.060
11401-Sur,5.737,22.972,19.441,108.801.812,7.286.585,131.787.829,4.711.438,15.546.650,111.532.320
11402-Centro,3.729,34.834,27.816,91.388.545,5.778.080,129.894.268,3.655.974,22.514.341,103.724.049
11403-Centro-Catedral San Salvador-Alcázar,2.762,26.715,22.014,54.603.516,3.698.847,73.787.740,2.398.443,10.586.149,60.803.147
11404-Hospital de Jerez,5.162,18.984,16.516,83.899.113,6.049.522,97.997.338,3.687.185,9.056.692,85.253.461
11405-Norte-Noreste-Granja,21.280,27.853,22.884,478.420.641,29.798.842,592.704.132,23.468.897,82.263.182,486.976.730
11406-Este-Delicias,16.479,23.374,19.775,324.976.045,21.528.403,385.180.218,15.921.570,43.384.455,325.879.680
11407-Centro,12.062,32.204,25.878,298.327.923,16.975.821,388.450.388,13.059.278,63.246.971,312.144.139
11408-Oeste-Centro,13.873,20.214,17.337,234.606.203,19.055.212,280.424.203,12.253.734,27.662.363,240.522.332
11570-Garrapilos,1.796,18.121,15.848,26.494.216,2.112.090,32.545.989,1.376.050,2.707.167,28.462.773
11591-Guadalcacín,1.780,19.994,17.430,29.442.745,2.100.184,35.588.828,1.524.752,3.038.912,31.025.165
Resto,3.810,17.748,15.632,55.693.159,4.441.089,67.618.769,2.888.647,5.171.595,59.558.527
Córdoba-14021,158.701,27.510,22.420,3.520.418.853,161.609.236,4.365.885.392,160.924.152,646.972.469,3.558.047.957
14001-Ollerías-Sta Marina-San Lorenzo,9.376,33.492,26.604,233.810.533,8.843.419,314.016.943,9.364.655,55.216.030,249.438.365
14002-San Pedro-Santiago-La Magdalena,5.863,27.980,22.716,133.062.363,5.561.304,164.048.483,6.139.638,24.730.350,133.181.152
14003-Catedral-San Francisco,2.741,35.503,27.984,65.322.824,2.977.843,97.313.431,2.480.067,18.129.995,76.703.369
14004-San Basilio-Parque Cruz Conde-Alameda Del Obispo,12.116,30.903,24.943,305.027.257,11.771.026,374.417.356,11.766.807,60.449.116,302.207.694
14005-Miralbaida-Palmeras,21.906,28.861,23.363,538.745.371,22.987.055,632.221.069,24.502.138,95.943.514,511.780.141
14006-Valdeolleros-Huerta La Reina,11.580,27.075,22.163,258.347.630,11.694.500,313.528.560,11.770.584,45.116.708,256.644.384
14007-Levante,10.135,22.420,18.968,197.329.650,9.385.150,227.227.292,9.180.456,25.812.968,192.242.560
14008-Centro-Avenida de América,2.510,41.049,32.004,62.116.536,2.611.239,103.031.890,2.342.011,20.360.861,80.329.018
14009-Fray Albino,6.039,20.996,17.894,110.229.490,5.362.639,126.796.407,5.387.967,13.346.826,108.061.614
14010-Fuensanta-El Arcángel,12.848,21.144,18.045,235.224.160,12.705.291,271.664.263,11.119.510,28.705.085,231.841.752
14011-El Tablero,16.521,29.306,23.616,402.785.751,19.892.941,484.168.868,19.696.827,74.330.993,390.158.401
14012-El Brillante-Quitapesares,10.763,43.153,33.099,306.878.973,11.421.631,464.456.289,13.237.656,94.981.466,356.240.983
14013-Sector Sur-Polígono Del Guadalquivir,8.915,18.619,16.045,142.056.839,10.809.739,165.989.988,7.520.516,15.426.843,143.045.373
14014-Fátima-Parque Fidiana-Cañero,15.212,22.458,18.971,294.520.480,13.778.424,341.625.498,14.283.892,38.757.787,288.586.777
14029-Las Jaras-Las Ermitas y otros,1.994,31.973,25.582,50.445.748,1.970.579,63.753.518,2.609.085,10.134.676,51.009.757
14610-Alcolea,2.665,21.922,18.477,48.966.811,2.434.292,58.423.339,2.591.751,6.590.408,49.242.435
14710-Extrarradio (Villarrubia),2.177,20.136,17.227,36.311.152,2.102.543,43.836.540,1.836.968,4.495.473,37.504.099
14711-Encinarejo de Córdoba (Núcleo),1.578,25.440,21.003,33.334.009,1.122.176,40.144.524,1.692.965,5.309.190,33.142.369
Resto,3.762,21.058,17.727,65.903.275,4.177.445,79.221.136,3.400.659,9.134.182,66.687.716
Granada-18087,123.653,30.508,24.620,2.904.509.455,167.917.320,3.772.382.082,118.987.475,609.148.380,3.044.305.729
18001-Centro,2.882,33.345,26.497,66.817.549,3.420.061,96.101.088,2.607.495,17.130.587,76.363.091
18002-Centro,6.470,37.866,29.957,162.585.408,9.150.222,244.994.236,5.648.224,45.535.886,193.824.160
18003-Ronda,6.341,31.873,25.755,157.756.704,9.039.445,202.105.715,6.061.032,32.737.487,163.312.799
18004-Ronda-Arabial,7.650,35.403,28.234,202.558.296,11.792.678,270.833.612,7.174.753,47.671.613,215.989.522
18005-San Antón,6.033,35.755,28.392,147.041.917,9.074.365,215.712.026,5.655.821,38.771.167,171.288.025
18006-Figares-Ciudad Jardín,10.859,31.684,25.645,272.403.409,15.445.719,344.059.208,10.569.777,55.015.638,278.479.859
18007-Zaidín-Vergeles,9.848,22.391,18.928,182.954.578,12.243.687,220.504.495,8.034.796,26.068.172,186.402.996
18008-Cervantes-Palacio de Deportes-Bola de Oro-Carretera Sierra,17.613,33.711,26.833,462.301.242,22.069.238,593.744.651,20.033.069,101.112.136,472.608.158
18009-Realejo,4.556,34.744,27.555,107.062.591,6.918.749,158.292.139,4.272.313,28.479.536,125.540.290
18010-Albaicín-Sacromonte,4.482,29.359,23.581,97.477.537,5.454.608,131.587.354,4.088.421,21.808.939,105.689.995
18011-Norte-Beiro,6.988,19.269,16.402,109.651.030,10.360.430,134.652.986,4.731.894,15.304.796,114.616.539
18012-Plaza de Toros-Doctores San Lázaro,4.981,36.199,28.572,130.557.412,6.404.822,180.305.730,4.755.225,33.234.350,142.316.155
18013-Polígono de Almanjáyar-Joaquina Eguaras Sur,7.968,23.387,19.508,158.668.939,10.363.355,186.348.377,7.131.703,23.777.850,155.441.402
18014-Barrio de Los Periodistas,13.827,33.609,26.906,376.563.638,19.332.330,464.707.009,16.029.541,76.660.656,372.023.201
18015-La Chana,8.667,25.182,20.915,181.477.254,11.305.729,218.251.408,8.133.347,28.856.437,181.266.032
Resto,4.488,24.550,19.863,88.631.951,5.541.883,110.182.049,4.060.065,16.983.132,89.143.505
Huelva-21041,71.606,25.987,21.378,1.573.447.295,78.308.981,1.860.821.184,71.561.421,258.470.442,1.530.815.539
21001-Centro- Pescadería,5.879,36.559,28.615,169.183.504,6.918.633,214.929.345,7.412.609,39.288.536,168.228.200
21002-La Orden- Las Colonias- Santa Lucía- Navidad- El molino de la Vega- Zafra,12.799,25.417,21.001,277.263.333,14.429.519,325.310.236,12.926.725,43.596.791,268.786.720
21003-Casa Colón- Polvorín,6.664,33.377,26.673,178.573.969,8.228.470,222.425.571,7.175.720,37.508.415,177.749.946
21004-San Sebastián- Guadalupe- Adoratrices,7.719,31.756,25.371,204.013.302,8.681.686,245.120.882,8.534.886,40.745.741,195.840.426
21005-Parque Moret- El Conquero,13.885,19.789,17.027,245.233.773,14.535.592,274.765.469,12.002.721,26.345.556,236.418.842
21006-Isla Chica,9.327,23.103,19.489,188.778.554,9.832.227,215.478.165,8.211.863,25.492.721,181.778.005
21007-Los Rosales- El Higueral,12.679,24.480,20.363,267.871.534,12.745.343,310.379.373,13.096.789,39.109.950,258.184.094
Resto,2.654,19.748,16.514,42.529.327,2.937.511,52.412.143,2.200.108,6.382.730,43.829.305
Jaén-23050,60.586,27.511,22.527,1.340.337.916,75.131.074,1.666.766.812,60.501.214,241.478.345,1.364.803.448
23001-San Ildefonso-San Félix-Centro,4.635,27.328,22.495,96.464.326,5.929.879,126.664.873,4.147.248,18.254.130,104.264.071
23002-El Almendral-La Merced-La Alacantarilla-Valparaiso-La Glorieta,6.483,22.418,18.967,118.984.496,7.648.233,145.334.889,5.804.113,16.566.858,122.963.918
23003-La Salobreja-Puente Jontoya,4.835,31.254,25.258,111.968.020,5.996.104,151.114.189,4.783.631,24.210.557,122.120.134
23004-La Magdalena-Carrretera de Circunvalación,4.922,21.183,18.014,84.136.648,6.007.202,104.262.893,3.951.267,11.646.670,88.666.106
23005-Barrio Peñamefecit-Hospital-Santa Isabel,5.317,32.228,25.771,133.293.901,6.201.265,171.353.650,5.244.704,29.085.456,137.023.491
23006-Las Fuentezuelas-Urbaniz. Virgen Blanca- Urbaniz. Valdeastillas,10.634,25.155,20.952,227.337.088,14.080.436,267.493.011,10.246.611,34.453.573,222.799.991
23007-Paseo de la Estación-San Bartolomé-Millán de Priego,3.964,30.561,24.701,93.895.075,4.777.425,121.144.278,3.679.302,19.551.781,97.913.194
23008-Las Protegidas-Avenida de Madrid- Centro,5.487,31.945,25.551,143.786.136,6.271.452,175.283.721,6.160.565,28.930.878,140.197.006
23009-El Valle-Universidad-Puente Tablas,11.233,29.529,23.920,271.011.689,14.209.126,331.699.413,13.536.133,49.476.537,268.689.183
Resto,3.076,23.542,19.560,59.460.538,4.009.953,72.415.896,2.947.639,9.301.905,60.166.353
Málaga-29067,269.718,27.611,22.636,5.760.685.427,378.108.958,7.447.170.077,274.418.819,1.067.762.345,6.105.468.038
29001-Ensanche Centro-Soho,1.602,37.262,29.575,37.148.201,3.269.047,59.692.940,1.506.276,10.814.419,47.378.363
29002-El Bulto-Jardín de La Abadía-La Princesa,15.521,28.985,23.695,354.289.844,24.309.234,449.880.459,15.861.582,66.269.331,367.769.917
29003-Barceló-El Torcal-Girón-Vistafranca-La Cordobesa,15.564,20.769,17.868,274.027.628,19.460.225,323.241.944,13.338.704,31.813.808,278.099.300
29004-Pol. Ind. Guadalhorce-Guadalmar-Carretera de Cádiz,28.528,27.837,22.815,649.392.877,37.302.093,794.121.286,31.362.933,111.907.114,650.855.062
29006-Cruz de Humilladero,24.455,22.494,19.125,459.979.213,33.472.676,550.087.949,22.391.118,60.012.111,467.690.071
29007-Carranque-Hazas Cuevas,15.163,27.382,22.611,325.775.211,22.440.079,415.200.014,13.891.924,58.471.609,342.850.179
29008-La Goleta-San Felipe Neri-Centro Histórico,2.122,28.043,22.836,41.927.100,3.066.714,59.507.869,2.122.453,8.928.706,48.458.493
29009-Perchel Norte-La Trinidad,8.431,23.063,19.375,159.429.154,11.409.068,194.441.552,7.580.266,23.517.156,163.347.869
29010-Bailén-Miraflores-Suárez-Teatinos,39.616,27.490,22.522,906.428.143,53.283.406,1.089.056.566,46.613.482,150.211.755,892.245.407
29011-Martírinos-La Roca-Palma-Palmilla,15.328,19.662,16.990,254.843.839,22.480.966,301.377.195,13.031.209,27.920.579,260.425.407
29012-La Merced-Barcenillas-Seminario,5.285,28.376,23.119,112.929.485,7.592.621,149.969.494,5.396.992,22.395.317,122.181.277
29013-Olletas-Sierra Blanquilla-El Ejido,10.659,25.609,21.218,220.723.813,14.970.513,272.968.879,10.525.011,36.287.588,226.158.969
29014-Ciudad Jardín,18.551,22.061,18.782,337.405.469,24.103.903,409.251.059,17.326.431,43.825.758,348.433.670
29016-Malagueta-Monte Sancha,11.183,53.505,40.609,341.571.849,19.542.443,598.341.311,12.389.384,131.858.068,454.125.497
29017-Pedregalejo-Morlaco-Las Acacias-El Palo,7.700,35.356,28.320,190.289.876,12.193.167,272.243.750,7.429.896,46.755.123,218.062.148
29018-Cerrado de Calderón-Hacienda Paredes,12.191,40.429,31.290,329.399.308,18.100.858,492.875.096,14.249.036,97.183.099,381.456.420
29140-Churriana-La Noria-Buenavista,7.890,28.432,23.325,170.926.724,11.665.995,224.325.514,8.934.168,31.355.224,184.036.986
29190-El Chaparral-Los Morales-Torremar,12.151,26.794,22.140,260.438.060,17.832.233,325.574.041,13.443.262,43.113.909,269.024.005
29590-Campanillas,5.619,20.820,17.829,98.506.325,6.822.546,116.987.546,5.643.459,11.163.786,100.180.520
29591-Campanillas-Puerto La Torre,2.137,21.792,18.586,37.673.131,2.642.297,46.569.049,2.194.282,4.655.864,39.718.903
Resto,10.022,30.079,24.244,197.580.176,12.148.873,301.456.564,9.186.951,49.302.022,242.969.573
Marbella-29069,61.474,28.593,23.303,1.167.660.480,52.424.200,1.757.725.033,58.344.125,266.902.954,1.432.530.144
29601-Miraflores-Barrio Alto-Casco Antiguo-Divina Pastora,13.809,24.284,20.310,250.952.035,11.999.715,335.342.036,12.273.146,42.613.216,280.465.359
29602-Nagueles-La Carolina-El Vicario,9.500,38.090,29.902,202.337.143,8.139.467,361.857.607,9.481.511,68.333.150,284.065.521
29603-Bello Horizonte-Lindasol-Rio Real-Bahía de Marbella-Los Monteros,11.046,25.219,20.924,213.158.190,10.344.568,278.568.258,11.012.848,36.430.898,231.124.631
29604-Las Chapas-El Rosario-Elviria-Cabopino-Ricmar,4.218,34.773,27.379,87.832.508,3.090.452,146.673.950,4.293.813,26.896.869,115.483.541
29660-Nueva Andalucía-Puerto Banús,6.997,34.127,27.547,132.214.868,5.861.330,238.785.748,6.628.481,39.427.467,192.745.923
29670-San Pedro de Alcántara-Gualdalmina-Salto del Agua,14.594,23.951,19.997,253.271.659,12.178.728,349.537.103,13.308.266,44.394.614,291.834.442
Resto,1.310,35.848,28.100,27.894.077,809.941,46.960.331,1.346.060,8.806.740,36.810.727
Dos Hermanas-41038,60.368,27.497,22.455,1.368.989.489,74.091.494,1.659.945.146,68.701.206,235.718.254,1.355.538.910
41089-Montequinto- Urb. Fuentequintillo,17.415,31.541,25.160,462.982.524,22.718.405,549.284.874,22.745.788,88.381.130,438.158.611
41701-El Arenal- La Pólvora -Barriada Juan de la Cosa-La Moneda-El Palmarillo,12.800,27.297,22.468,271.253.259,14.586.594,349.402.718,13.451.715,48.371.661,287.586.504
41702-Ciudad Blanca- Los Montecillos-Costa del Sol-El Chaparral-Cerro Blanco,14.050,21.461,18.308,259.882.627,16.374.543,301.525.667,13.681.453,30.622.677,257.221.537
41703-Urb. Casquero- La Motilla,5.359,32.295,25.912,136.422.827,7.078.935,173.071.391,6.361.089,27.853.376,138.861.670
41704-Urb. San Federico Echaguy,7.180,29.053,23.495,180.818.822,8.976.741,208.597.663,9.666.652,30.233.673,168.697.338
Resto,3.564,21.903,18.242,57.629.431,4.356.276,78.062.833,2.794.508,10.255.737,65.013.251
Sevilla-41091,343.385,30.060,24.192,8.161.020.570,434.234.301,10.322.008.576,365.902.998,1.649.277.517,8.307.007.205
41001-Casco Antiguo,5.862,44.551,34.495,156.977.525,8.489.630,261.158.873,6.119.945,52.829.765,202.210.757
41002-Casco Antiguo,9.310,36.300,28.497,256.884.366,10.742.947,337.956.088,11.352.623,61.294.080,265.310.189
41003-Casco Antiguo-Cerro-Amate-Nervión-S.Pablo-Sta.Justa,18.808,35.256,27.851,520.311.150,23.161.190,663.096.862,22.158.538,117.113.849,523.827.859
41004-Casco Antiguo-Este-Nervión-Sur,6.622,46.852,36.195,196.086.054,9.827.914,310.255.913,7.228.200,63.358.253,239.686.279
41005-Nervión-Sur,16.437,36.123,28.498,475.062.297,21.886.075,593.761.289,18.087.691,107.244.987,468.428.986
41006-Bellavista-La Palmera-Casco Antiguo-Cerro-Amate-Sur,33.152,19.943,17.152,568.262.852,38.697.468,661.146.334,27.703.556,64.850.459,568.613.264
41007-Nervión-Norte-S.Pablo-Sta.Justa,15.834,30.337,24.410,384.447.239,20.980.332,480.349.907,15.829.176,78.007.732,386.513.768
41008-Macarena-Norte-S.Pablo-Sta.Justa,31.672,26.919,22.031,732.484.730,38.645.911,852.571.047,33.976.481,120.850.514,697.762.396
41009-Casco Antiguo-Macarena-Norte,16.928,24.597,20.394,351.623.519,19.658.071,416.372.068,15.177.565,55.972.522,345.222.444
41010-Los Remedios-Triana,22.900,31.626,25.382,579.757.020,28.035.712,724.242.103,24.582.796,118.428.618,581.245.759
41011-Los Remedios-Triana,14.785,44.198,34.263,424.539.957,21.437.959,653.472.774,16.357.988,130.541.448,506.575.007
41012-Bellavista-La Palmera-Sur,10.520,38.600,30.167,306.840.331,15.443.072,406.068.383,13.870.815,74.840.188,317.358.206
41013-Bellavista-La Palmera-Casco Antiguo-Nervión-Sur,25.111,33.241,26.255,625.212.906,35.972.250,834.718.990,25.918.674,149.523.103,659.301.587
41014-Bellavista-La Palmera,7.046,27.209,22.259,163.313.705,8.543.082,191.713.089,8.440.626,26.434.989,156.838.102
41015-Este-Macarena-Norte,24.890,22.135,18.760,483.851.095,28.978.009,550.930.066,24.731.351,59.274.302,466.937.441
41016-Bellavista-La Palmera-Cerro-Amate-Este,5.608,20.205,17.314,94.038.717,6.275.430,113.308.702,5.127.162,11.087.085,97.095.232
41017-Torreblanca,1.426,10.780,9.905,12.364.086,2.477.612,15.371.941,625.263,621.492,14.125.187
41018-Nervión-Sur,11.084,45.044,34.575,363.740.118,17.575.082,499.263.852,14.294.571,101.744.291,383.233.710
41019-Este-Norte-S. Pablo-Sta.Justa,9.712,21.916,18.709,183.594.732,11.434.843,212.851.715,9.238.736,21.909.774,181.703.903
41020-Este-Norte,32.990,29.214,23.689,809.746.364,42.109.719,963.765.420,42.277.144,139.998.432,781.508.853
Resto,22.688,25.548,20.430,471.881.807,23.861.993,579.633.160,22.804.099,93.351.634,463.508.277
Zaragoza-50297,394.045,30.002,24.240,9.654.513.747,451.351.669,11.822.154.693,446.405.497,1.824.633.913,9.551.478.806
50001-Casco Viejo,6.762,39.246,30.509,178.508.546,8.923.065,265.380.842,7.678.687,51.402.325,206.300.309
50002-Las Fuentes,23.649,23.801,19.994,481.594.132,25.565.537,562.860.570,21.660.493,68.378.817,472.836.850
50003-La Almozara,23.014,26.798,22.015,514.939.568,27.960.918,616.729.046,23.643.701,86.450.486,506.643.182
50004-Centro-Paseo de La Independencia,12.395,35.468,28.059,323.550.252,14.049.547,439.624.398,12.910.870,78.933.153,347.794.334
50005-Centro-Cortes de Aragón,11.077,29.664,24.000,265.945.033,10.487.891,328.588.829,10.959.687,51.790.949,265.846.464
50006-Centro,15.441,37.944,29.805,431.184.390,17.567.918,585.892.340,16.834.427,108.850.509,460.212.677
50007-Torrero-La Paz-San José,36.399,24.976,20.783,775.989.622,38.634.069,909.115.946,35.563.190,117.114.066,756.466.791
50008-Centro- Paseo Sagasta,24.146,36.571,28.933,641.321.832,29.827.455,883.031.574,24.560.671,159.857.952,698.628.077
50009-Universidad-Romareda,22.459,38.154,29.933,684.593.752,27.932.249,856.891.109,26.633.800,158.005.514,672.270.757
50010-Parque Roma,20.794,24.647,20.631,438.007.198,20.523.390,512.519.418,18.386.385,65.153.416,428.999.222
50011-Miralbueno,16.462,32.945,26.062,436.875.070,19.209.453,542.344.171,22.713.928,90.596.815,429.033.428
50012-Oliver-Valdefierro-Casablanca,19.008,41.450,31.888,588.828.324,22.932.051,787.883.264,27.712.340,154.133.464,606.118.569
50013-Cartuja Baja,14.287,26.422,21.852,320.567.725,16.200.825,377.484.302,14.981.902,50.322.810,312.198.356
50014-Rabal,21.838,29.130,23.652,551.150.124,25.333.971,636.144.578,27.704.145,91.920.859,516.519.831
50015-Parque Goya 1,23.198,26.110,21.507,529.279.162,24.803.817,605.705.794,26.828.349,79.970.176,498.913.878
50016-Santa Isabel,7.707,29.426,23.705,195.720.652,6.963.119,226.786.359,10.901.258,33.192.944,182.696.817
50017-Delicias,23.047,23.841,20.112,471.793.008,24.706.710,549.468.833,19.939.231,66.017.919,463.525.716
50018-Parque Goya 2,31.280,30.087,24.257,812.475.059,37.895.883,941.119.284,39.780.493,142.676.802,758.750.604
50019-Casablanca,13.927,30.266,24.426,371.573.986,16.841.773,421.510.926,22.129.271,59.197.307,340.185.490
50021-Torrero-La Paz-Parque Venecia,4.580,32.463,26.065,129.162.439,7.968.931,148.678.818,7.911.519,21.388.509,119.378.791
50022-Arcosur,2.946,27.717,22.777,72.888.677,4.163.143,81.653.741,4.665.095,9.889.949,67.100.704
50059-Montañana-Barrio Del Saso,1.626,26.521,21.789,36.565.158,1.714.111,43.122.700,1.975.605,5.718.740,35.428.356
50120-Monzalbarba,1.072,24.722,20.496,22.877.364,1.025.819,26.502.407,1.194.089,3.337.001,21.971.317
50190-Garrapinillos,2.679,31.431,25.218,63.845.435,3.856.126,84.202.469,3.357.691,13.288.808,67.558.513
50194-Movera-Torre Larraz,1.149,29.505,23.920,26.193.713,1.129.925,33.901.109,1.300.038,5.117.448,27.483.622
50620-Casetas,3.591,23.338,19.613,72.784.529,3.919.470,83.805.505,3.640.395,9.740.053,70.430.112
50720-Cartuja Baja,1.107,28.609,23.280,26.689.644,1.472.671,31.670.178,1.380.095,4.518.833,25.771.250
50820-San Juan de Mozarrifar,1.499,30.089,24.397,37.447.749,2.056.084,45.103.014,2.005.639,6.526.078,36.571.297
Resto,6.906,28.154,22.566,152.161.604,7.685.745,194.433.167,7.452.505,31.142.215,155.843.491
Gijón-33024,143.746,28.952,23.727,3.375.300.139,189.494.522,4.161.720.622,146.523.495,604.633.718,3.410.647.786
33201-Centro-Cimadevilla,4.244,35.033,27.994,106.187.395,6.137.002,148.682.121,4.370.725,25.510.961,118.808.250
33202-La Arena,7.381,31.580,25.684,181.191.293,9.563.808,233.091.967,6.859.157,36.674.377,189.576.734
33203-La Guía-Somió,9.668,41.663,32.729,279.992.912,14.558.685,402.793.792,10.662.348,75.705.432,316.426.012
33204-El Coto-Viesques,14.665,34.005,27.171,404.871.852,20.596.553,498.681.090,17.679.676,82.544.904,398.467.167
